Year,Loan Number,FHLBankID,Program,FIPSStateCode,FIPSCountyCode,MSA,FeatureID,Tract,MinPer,TraMedY,LocMedY,Tractrat,Income,CurAreY,IncRat,UPB,LTV,MortDate,AcquDate,Purpose,Coop,Product,FedGuar,Term,AmorTerm,FHFBID,Seller,SellCity,SellSt,SellType,NumBor,First,CICA,BoRace,CoRace,BoGender,CoGender,BoAge,CoAge,Occup,NumUnits,Bed1,Bed2,Bed3,Bed4,Aff1,Aff2,Aff3,Aff4,Rent1,Rent2,Rent3,Rent4,RentUt1,RentUt2,RentUt3,RentUt4,Geog,Rate,Amount,Front,Back,Borrower Credit Score,CoBorrower Credit Score,PMI,Self,PropType,ArmIndex,ArmMarg,PrepayP,BoEth,Race2,Race3,Race4,Race5,CoEth,Corace2,Corace3,Corace4,Corace5,HOEPA,LienStatus,SpcHsgGoals,FedFinStbltyPlan,AcqTyp,GSEREO
2014,22006,Indianapolis,06,26,127,99999,0002399651,0108.00,6.68,54250,51187,0.77,257559,53900,4.7785,148750,0.85,2014,2014,1,2,1,0,360,360,16983,Old National Bank fka Fo,Grand Rapids,MI,1,2,2,9,5,5,1,2,40,39,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0413,148750,0.06,0.22,5,5,0,2,PT07,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,22007,Indianapolis,06,26,127,99999,0002399129,0106.00,8.22,45581,51187,0.77,75216,51700,1.4549,108900,0.9,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,1,2,9,7,8,3,4,55,98,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0463,108900,0.13,0.27,3,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,1,2,4,2
2014,22008,Indianapolis,06,26,127,99999,0002399651,0108.00,6.68,54250,51187,0.77,255480,53900,4.7399,192000,0.8,2014,2014,1,2,1,0,360,360,16407,Northpointe Bank,Grand Rapids,MI,1,1,2,9,5,8,1,4,39,98,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0413,192000,0.11,0.26,5,9,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,22009,Indianapolis,06,26,129,99999,0002399022,9509.00,6.26,29071,51187,0.83,27231,53900,0.5052,24000,0.8,2014,2014,1,2,1,0,360,360,16367,Northland Area Federal C,Oscoda,MI,1,2,2,9,5,5,1,2,76,71,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0413,24000,0.1,0.1,3,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22010,Indianapolis,06,26,129,99999,0001627248,9502.00,2.62,44063,51187,0.83,89024,53900,1.6517,52800,0.8,2014,2014,1,2,1,0,180,180,16367,Northland Area Federal C,Oscoda,MI,1,2,2,9,5,5,1,2,31,24,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0313,52800,0.07,0.17,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,1,2
2014,22011,Indianapolis,06,26,129,99999,0001627248,9502.00,2.62,44063,51187,0.83,58043,51700,1.1227,49500,0.5,2014,2014,1,2,1,0,360,360,16367,Northland Area Federal C,Oscoda,MI,1,1,2,9,5,8,2,4,71,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,49500,0.06,0.11,5,9,0,2,PT02,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2014,22012,Indianapolis,06,26,131,99999,0002399578,9702.00,3.02,47237,51187,1.93,47944,51700,0.9273,95897,0.8,2014,2014,2,2,1,0,240,240,09864,The Miners State Bank,Iron River,MI,1,2,2,9,5,5,1,2,38,39,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0413,95897,0.19,0.2,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22013,Indianapolis,06,26,131,99999,0001621420,9702.00,3.02,47237,51187,1.93,62899,51700,1.2166,100000,0.8,2014,2014,2,2,1,0,240,240,09864,The Miners State Bank,Iron River,MI,1,2,2,9,5,5,1,2,99,99,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0375,100000,0.15,0.23,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,4,2
2014,22014,Indianapolis,06,26,131,99999,0002399578,9702.00,3.02,47237,51187,1.93,128661,53900,2.387,60000,0.53,2014,2014,1,2,1,0,120,120,09864,The Miners State Bank,Iron River,MI,1,1,2,9,5,8,2,4,99,98,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0313,60000,0.08,0.09,5,9,0.25,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2014,22015,Indianapolis,06,26,133,99999,0002399257,9701.00,3.29,44000,51187,0.75,78012,51700,1.5089,84000,0.8,2014,2014,2,2,1,0,360,360,52310,Chemical Bank fka Northw,Midland,MI,1,2,2,9,5,5,1,2,64,61,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0438,84000,0.1,0.18,5,5,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2014,22016,Indianapolis,06,26,137,99999,0001626341,9503.00,6.26,45138,51187,0.99,51096,51700,0.9883,60800,0.8,2014,2014,1,2,1,0,360,360,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,2,1,26,27,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.045,60800,0.15,0.32,5,3,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
2014,22017,Indianapolis,06,26,137,99999,0001626341,9506.00,3.39,59674,51187,0.99,55020,53900,1.0208,124000,0.73,2014,2014,1,2,1,0,360,360,14717,Community Financial Cred,Plymouth,MI,1,2,2,9,5,5,2,2,67,71,1,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.04,124000,0.21,0.21,5,4,0,2,PT01,99,99999,12/31/9999,2,6,6,6,6,2,6,6,6,6,2,1,2,2,4,2
2014,22018,Indianapolis,06,26,137,99999,0001626341,9505.00,4.03,55417,51187,0.99,134115,53900,2.4882,143920,0.8,2014,2014,1,2,1,0,360,360,10973,Mason State Bank,Mason,MI,1,2,2,9,5,5,1,2,99,99,2,1,98,98,98,98,2,2,2,2,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,9999999999,2,0.0413,143920,0.09,0.41,5,4,0.12,2,PT07,99,99999,12/31/9999,2,6,6,6,6,5,8,8,8,8,2,1,2,2,1,2
